STD_ID,YEAR_ID,GENDER_ID,NATIONALITY,MAJOR_ID,STS_ID,PUNISH_STS_ID,ACC_HOURS,ACC_AVG,BRANCH_COUNTRY,BRANCH_AVG,ACD_STS_ID,ACD_STS
230,1992,1,1,24,2,0,132,74.8,1,72.8,1,0
231,1992,2,1,24,2,0,132,62.3,310,76.1,1,0
232,1992,2,1,24,4,0,9,54.7,1,65.2,12,1
233,1992,1,1,24,2,0,132,68.9,1,79.9,1,0
234,1992,1,1,24,2,0,132,65.2,1,74.8,1,0
235,1992,1,1,24,4,0,0,54.7,1,79.5,12,1
236,1992,1,1,24,2,0,132,60.9,310,86.3,1,0
237,1992,1,1,24,2,0,132,64.1,1,73.4,1,0
238,1992,1,1,24,2,0,132,79.4,1,65.3,1,0
239,1992,2,1,24,3,0,18,49.3,1,69.5,1,0
240,1992,1,1,24,7,0,88,58.7,1,65.5,10,1
241,1992,1,1,24,2,0,132,60.5,1,73,1,0
242,1992,1,1,24,7,0,64,59,1,66.6,10,1
243,1992,1,1,24,2,0,132,73.8,1,73,1,0
244,1992,1,1,24,2,0,132,79.6,1,71.7,1,0
245,1992,2,1,24,2,0,132,68.1,1,79.1,1,0
246,1992,1,1,24,2,0,132,61.8,1,68.3,1,0
247,1992,1,1,24,2,0,132,77.9,1,76.7,1,0
248,1992,1,1,24,2,0,132,71.2,1,65,1,0
249,1992,1,1,24,2,0,132,66.7,1,74.3,1,0
250,1992,1,1,24,2,0,132,72.5,1,68.7,1,0
251,1992,2,1,24,4,0,0,49.3,1,76.5,12,1
252,1992,1,1,24,4,0,70,62.6,1,60.9,12,1
253,1992,1,1,24,3,0,73,58.3,1,68.2,1,0
254,1992,2,1,24,7,0,0,57.9,1,68.7,10,1
255,1992,1,1,24,2,0,132,67.8,1,75.4,1,0
256,1992,2,1,24,4,0,15,85,310,96.9,12,1
257,1992,1,1,24,4,0,30,65.9,1,73.3,12,1
258,1992,2,1,24,2,0,132,69.9,312,92.5,1,0
259,1992,1,1,24,7,0,21,54.9,1,64.3,10,1
260,1992,1,1,24,2,0,132,75.5,1,75.3,1,0
261,1992,2,1,24,2,0,132,71.8,1,69.7,1,0
262,1992,2,1,24,2,0,132,79,1,76.3,1,0
263,1992,2,1,24,2,0,132,75.1,1,84.8,1,0
264,1992,1,1,24,2,0,132,83.1,1,82.3,1,0
265,1992,2,1,24,3,0,70,57.1,310,90,1,0
266,1992,1,1,24,2,0,132,66.1,1,66.6,1,0
267,1992,1,1,24,2,0,132,79.2,1,77.1,1,0
268,1992,2,1,24,2,0,132,70.6,1,69.2,1,0
269,1992,2,1,24,2,0,132,65,1,71.5,1,0
270,1992,1,1,24,2,0,132,86.6,310,94,1,0
271,1992,2,1,24,2,0,132,69.3,314,86.7,1,0
272,1992,1,1,24,4,0,49,49.8,1,69.9,12,1
273,1992,1,1,24,2,0,132,68.7,1,76,1,0
274,1992,1,1,24,2,0,132,78.3,1,71.1,1,0
275,1992,2,1,24,2,0,132,73.3,1,74.2,1,0
276,1992,1,1,24,2,0,132,72.5,1,75.1,1,0
277,1993,1,317,24,2,0,132,73.3,310,66.3,1,0
278,1993,1,1,24,7,0,24,66.1,310,87.4,1,0
279,1993,1,1,24,3,0,91,59.7,310,70.8,1,0
280,1993,1,1,24,2,0,132,79.7,1,76.2,1,0
281,1993,1,1,24,2,0,132,72.9,1,71.6,1,0
282,1993,1,1,24,2,0,132,68.5,1,66.3,1,0
283,1993,1,1,24,2,0,132,78.6,1,72.5,1,0
284,1993,1,1,24,2,0,132,66.8,1,67.4,1,0
285,1993,1,2,24,2,0,132,76.2,312,66,1,0
286,1993,2,1,24,2,0,132,70.3,1,62.4,1,0
287,1993,1,1,24,2,0,132,78.3,1,60,1,0
288,1993,2,1,24,2,0,132,83,1,74.8,1,0
289,1993,1,1,24,2,0,132,76,1,71.4,1,0
290,1993,1,1,24,2,0,132,64.6,1,66.3,1,0
291,1993,1,1,24,2,0,132,77.6,1,74.2,1,0
292,1993,2,1,24,7,0,48,66.9,1,64.9,10,1
293,1993,1,1,24,2,0,132,64.7,1,79,1,0
294,1993,1,1,24,2,0,132,62.1,1,63.3,1,0
295,1993,1,1,24,2,0,132,67.7,1,68.1,1,0
296,1993,1,1,24,7,0,42,57.3,1,67.4,10,1
297,1993,2,1,24,2,0,132,71.5,1,65,1,0
298,1993,1,1,24,4,0,0,,1,75.4,12,1
299,1993,1,1,24,2,0,132,70.1,1,63.4,1,0
300,1993,1,1,24,2,0,132,65.2,1,62.3,1,0
301,1993,1,1,24,2,0,132,66.3,1,72.7,1,0
302,1993,1,1,24,2,0,132,70.6,1,71,1,0
303,1993,1,1,24,2,0,132,65.2,1,66.5,1,0
304,1993,1,1,24,2,0,132,66.7,1,67.9,1,0
305,1993,1,1,24,3,0,42,58.8,1,65.9,1,0
306,1993,2,1,24,2,0,132,84.2,1,67.9,1,0
307,1993,2,1,24,2,0,132,65.1,1,73.6,1,0
308,1993,1,1,24,2,0,132,66.9,1,69.3,1,0
309,1993,1,1,24,2,0,132,71.3,1,70.3,1,0
310,1993,1,1,24,4,0,0,,1,64.4,12,1
311,1993,2,1,24,3,0,42,54.2,310,80,1,0
312,1993,1,1,24,2,0,132,70.3,1,74.4,1,0
313,1993,1,2,3,2,0,170,82.8,1,87.8,1,0
314,1993,1,1,24,3,0,45,56.6,1,63.8,1,0
315,1993,1,1,24,2,0,132,63.7,1,64,1,0
316,1993,1,1,3,2,0,170,67.8,1,83.9,1,0
317,1993,2,1,24,2,0,132,76.3,1,67.9,1,0
318,1993,1,1,3,2,0,170,78.5,1,84.7,1,0
319,1993,2,1,24,2,0,132,61.9,1,64.3,1,0
320,1993,1,1,24,4,0,40,59.2,1,62,12,1
321,1993,1,1,24,3,0,6,43.6,310,74.4,1,0
322,1993,2,310,24,3,0,54,59.1,1,77.9,1,0
323,1993,1,1,24,4,0,43,56.3,312,79.1,12,1
324,1993,1,1,3,7,0,43,59.5,310,84,1,0
325,1993,1,1,24,4,0,0,,1,68.2,12,1
326,1993,1,1,24,4,0,0,,1,62.2,12,1
327,1993,1,2,24,3,0,12,48.5,1,61.9,1,0
328,1993,1,1,24,2,0,132,70.1,1,72.4,1,0
329,1993,1,1,24,4,0,30,66.9,1,71.2,12,1
330,1993,1,1,24,2,0,132,70.1,1,68.2,1,0
331,1993,2,1,24,2,0,132,71.1,1,76.2,1,0
332,1993,1,1,3,4,0,43,58.2,312,82,12,1
333,1993,1,1,3,7,0,34,51.8,310,85,1,0
334,1993,1,1,24,2,0,132,72.3,1,63.1,1,0
335,1993,1,1,24,7,0,27,71.6,1,77.9,1,0
336,1993,1,1,3,2,0,170,75.9,310,82.3,1,0
337,1993,1,1,24,3,0,46,53.2,313,78.6,1,0
338,1993,1,1,24,4,0,0,,1,63.6,12,1
339,1993,1,2,24,2,0,132,69.5,1,67,1,0
340,1993,1,2,24,2,0,132,70.5,1,67.3,1,0
341,1993,1,2,3,4,0,0,75.9,312,90,12,1
342,1993,1,1,3,2,0,170,71.2,1,80.1,1,0
343,1993,1,1,24,2,0,132,77.7,1,78.2,1,0
344,1993,1,1,3,7,0,58,65.8,1,83.8,1,0
345,1993,1,1,24,2,0,132,74.6,1,67.3,1,0
346,1993,1,1,24,2,0,132,68,1,75.9,1,0
347,1993,1,2,24,4,0,3,48.5,310,70.2,12,1
348,1993,1,1,24,2,0,132,75.7,1,73.1,1,0
349,1993,1,1,3,7,0,21,48.6,310,87.8,1,0
350,1993,1,1,24,2,0,132,68.5,1,79.5,1,0
351,1993,2,1,24,2,0,132,68.3,1,74.6,1,0
352,1993,1,1,24,4,0,0,,1,62.8,12,1
353,1993,1,1,3,2,0,170,75.9,1,80.2,1,0
354,1993,1,1,24,2,0,132,67.9,1,70.3,1,0
355,1993,1,1,24,3,0,49,54.8,310,73.6,1,0
356,1993,1,1,24,3,0,12,44.4,1,73.6,1,0
357,1993,1,1,24,2,0,132,76.3,1,74.1,1,0
358,1993,1,1,24,2,0,132,73.3,1,76.1,1,0
359,1993,1,1,24,2,0,132,62,1,61.6,1,0
360,1993,1,1,24,2,0,132,77.2,1,75.9,1,0
361,1993,1,1,3,4,0,0,75.9,1,81.4,12,1
362,1993,2,1,24,2,0,132,78,1,73.2,1,0
363,1993,1,1,24,2,0,132,68,1,70.4,1,0
364,1993,1,1,24,4,0,27,61.9,310,76,12,1
365,1993,1,1,24,2,0,132,65.1,1,77.2,1,0
366,1993,1,1,24,4,0,0,,1,71.7,12,1
367,1993,1,1,24,2,0,132,70.3,1,75.6,1,0
368,1993,1,1,24,2,0,132,75,1,80.8,1,0
369,1993,1,1,24,2,0,132,65,1,68.2,1,0
370,1993,2,1,24,2,0,132,63.1,1,72.7,1,0
371,1993,1,1,24,2,0,132,60.4,1,65.1,1,0
372,1993,1,1,24,2,0,132,73.1,1,76.3,1,0
373,1993,2,1,24,2,0,132,74.6,1,75.5,1,0
374,1993,1,1,24,2,0,132,65.5,1,72.1,1,0
375,1993,2,1,24,2,0,132,72.2,313,88.8,1,0
376,1993,1,1,24,3,0,57,57.3,1,71.2,1,0
377,1993,1,1,24,4,0,0,,1,71.4,12,1
378,1993,2,1,24,2,0,132,68.5,1,76.5,1,0
379,1993,1,1,24,2,0,132,64.6,1,66.6,1,0
380,1993,2,1,24,2,0,132,76,1,79.8,1,0
381,1993,1,1,24,2,0,132,78,1,73.9,1,0
382,1993,1,1,24,4,0,12,68,1,75.1,12,1
383,1993,2,1,24,3,0,9,47.6,310,90.9,1,0
384,1993,2,1,24,2,0,132,66.9,313,83.2,1,0
385,1993,1,1,24,4,0,21,57.3,313,80.2,12,1
386,1993,1,1,3,4,0,58,67.6,313,89.1,12,1
387,1993,1,1,24,2,0,132,68.8,1,74.7,1,0
388,1993,1,1,24,2,0,132,73.5,1,68.4,1,0
389,1993,1,1,24,2,0,132,61,1,77,1,0
390,1993,1,1,24,2,0,132,73.3,1,77.4,1,0
391,1993,1,1,24,4,0,0,,1,60.6,12,1
392,1993,2,1,24,3,0,88,58.1,1,70.8,1,0
393,1993,1,1,24,2,0,132,61.9,1,63.1,1,0
394,1993,1,1,24,2,0,132,74,1,73.6,1,0
395,1993,1,1,3,2,0,170,80.9,1,82.2,1,0
396,1993,1,1,24,3,0,18,47.1,1,65.1,1,0
397,1993,1,1,24,2,0,132,65.5,1,66.1,1,0
398,1993,2,1,24,2,0,132,80,1,82.6,1,0
399,1993,1,1,24,2,0,132,73.8,1,66,1,0
400,1993,1,1,24,2,0,132,60.1,1,70,1,0
401,1993,1,1,24,2,0,132,83.3,1,72,1,0
402,1993,2,1,24,7,0,91,75.3,1,85,10,1
403,1993,1,1,24,2,0,132,64,1,66.5,1,0
404,1993,1,1,24,2,0,132,62.2,1,63,1,0
405,1993,1,1,24,2,0,132,70,1,69,1,0
406,1993,1,1,24,2,0,132,62.5,1,63.9,1,0
407,1993,1,1,3,3,0,52,56.7,310,88.8,1,0
408,1993,1,1,24,3,0,15,47.5,1,77,1,0
409,1993,1,1,24,2,0,132,72.5,1,78.5,1,0
410,1993,2,1,24,4,0,0,59.2,1,73,12,1
411,1993,1,1,24,2,0,132,66.2,1,66.2,1,0
412,1993,2,1,24,2,0,132,75,1,75.4,1,0
413,1993,1,1,3,3,0,49,53.3,310,81,1,0
414,1993,1,1,24,4,0,0,59.2,1,75.5,12,1
415,1993,2,1,24,3,0,46,55.1,1,61.2,1,0
416,1993,1,810,24,4,0,21,69.8,810,88,12,1
417,1993,1,1,24,4,0,0,59.2,1,70,12,1
418,1993,1,1,24,2,0,132,69.8,1,61.4,1,0
419,1993,1,1,24,4,0,0,59.2,1,83.3,12,1
420,1993,2,1,24,4,0,0,59.2,1,71.3,12,1
421,1993,1,1,24,4,0,0,59.2,1,71.1,12,1
422,1993,2,1,24,4,0,0,59.2,1,60.9,12,1
423,1993,1,1,3,3,0,34,50,314,82.8,1,0
424,1993,1,1,24,4,0,0,59.2,1,77,12,1
425,1993,1,1,24,7,0,33,82.8,1,81,1,0
426,1993,2,1,24,2,0,132,75.1,1,76.8,1,0
427,1993,1,1,24,2,0,132,70.2,1,74.9,1,0
428,1993,2,1,24,2,0,132,72.3,1,78.6,1,0
429,1993,1,1,3,2,0,170,64.3,1,84,1,0
430,1993,1,1,3,2,0,170,77,1,86,1,0
431,1993,2,1,24,7,0,21,81.6,1,86.4,1,0
432,1993,1,1,24,4,0,9,40.6,310,85.9,12,1
433,1993,2,1,24,2,0,132,63.8,1,71.8,1,0
434,1993,1,1,24,4,0,3,75,313,70,12,1
435,1994,1,1,3,7,0,19,69.7,1,87,1,0
436,1994,1,1,3,2,0,170,68.6,1,80.5,1,0
437,1994,1,1,24,3,0,40,54.7,1,65.5,1,0
438,1994,1,1,24,2,0,132,68.9,1,64.3,1,0
439,1994,1,1,24,2,0,132,70.1,1,60,1,0
440,1994,1,1,3,2,0,170,66.1,313,88.3,1,0
441,1994,1,1,24,2,0,132,60.1,1,61.7,1,0
442,1994,1,1,3,2,0,170,66.1,1,80.3,1,0
443,1994,1,1,24,2,0,132,82.1,1,76,1,0
444,1994,1,1,24,2,0,132,80.3,1,64.4,1,0
445,1994,1,1,24,2,0,132,85,1,81.3,1,0
446,1994,1,1,24,2,0,132,74,1,70.4,1,0
447,1994,2,1,24,2,0,132,62.6,1,64.7,1,0
448,1994,2,1,24,2,0,132,77.4,1,67.1,1,0
449,1994,1,1,24,2,0,132,64.3,1,71.9,1,0
450,1994,1,1,24,2,0,132,62.5,1,71.7,1,0
451,1994,1,1,24,2,0,132,73.6,1,68.5,1,0
452,1994,2,1,24,2,0,132,69.7,1,72.2,1,0
453,1994,1,1,24,2,0,132,67.2,1,76.3,1,0
